bt2_team_id,bt2_team_name,toa_team_name_candidate,league,sport_key,similarity_score,evidence_count,mm3_1d_recommendation,review_class
16806,Napoli,Napoli,Serie A,soccer_italy_serie_a,1.0,9,strong_alias_candidate,likely_duplicate
16811,Lecce,Lecce,Serie A,soccer_italy_serie_a,1.0,9,strong_alias_candidate,likely_duplicate
13797,Clermont,Clermont,Ligue 1,soccer_france_ligue_one,1.0,8,strong_alias_candidate,likely_duplicate
16810,Monza,Monza,Serie A,soccer_italy_serie_a,1.0,8,strong_alias_candidate,likely_duplicate
16802,AC Milan,AC Milan,Serie A,soccer_italy_serie_a,1.0,8,strong_alias_candidate,likely_duplicate
16801,Bologna,Bologna,Serie A,soccer_italy_serie_a,1.0,8,strong_alias_candidate,likely_duplicate
16819,Udinese,Udinese,Serie A,soccer_italy_serie_a,1.0,8,strong_alias_candidate,likely_duplicate
1537,Chelsea,Chelsea,Premier League,soccer_epl,1.0,7,strong_alias_candidate,likely_duplicate
1536,Tottenham Hotspur,Tottenham Hotspur,Premier League,soccer_epl,1.0,7,strong_alias_candidate,likely_duplicate
12251,Espanyol,Espanyol,La Liga,soccer_spain_la_liga,1.0,7,strong_alias_candidate,likely_duplicate
2870,St. Pauli,FC St. Pauli,Bundesliga,soccer_germany_bundesliga,0.8571,7,review_manual,needs_manual_review
1540,Wolverhampton Wanderers,Wolverhampton Wanderers,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1526,West Ham United,West Ham United,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1533,Newcastle United,Newcastle United,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1530,Fulham,Fulham,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1539,Manchester United,Manchester United,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1534,Aston Villa,Aston Villa,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1529,Everton,Everton,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1538,Liverpool,Liverpool,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1522,Manchester City,Manchester City,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1524,Nottingham Forest,Nottingham Forest,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1532,Crystal Palace,Crystal Palace,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1535,Brentford,Brentford,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
1523,Arsenal,Arsenal,Premier League,soccer_epl,1.0,6,strong_alias_candidate,likely_duplicate
12250,Leganés,Leganés,La Liga,soccer_spain_la_liga,1.0,6,strong_alias_candidate,likely_duplicate
2912,Holstein Kiel,Holstein Kiel,Bundesliga,soccer_germany_bundesliga,1.0,6,strong_alias_candidate,likely_duplicate
21900,Como,Como,Serie A,soccer_italy_serie_a,1.0,6,strong_alias_candidate,likely_duplicate
2862,Darmstadt 98,SV Darmstadt 98,Bundesliga,soccer_germany_bundesliga,0.8889,6,probable_typo_or_locale,needs_manual_review
2880,Heidenheim,FC Heidenheim,Bundesliga,soccer_germany_bundesliga,0.8696,6,review_manual,needs_manual_review
2868,FC Köln,FC Koln,Bundesliga,soccer_germany_bundesliga,0.8571,6,review_manual,needs_manual_review
1525,AFC Bournemouth,Bournemouth,Premier League,soccer_epl,0.8462,6,review_manual,needs_manual_review
2880,Heidenheim,1. FC Heidenheim,Bundesliga,soccer_germany_bundesliga,0.7692,6,review_manual,needs_manual_review
1521,Burnley,Burnley,Premier League,soccer_epl,1.0,5,strong_alias_candidate,likely_duplicate
