calendar_year,sm_league_id,league_name,market,n_odds_rows,n_distinct_events_with_row,n_bookmakers,min_fetched_at,max_fetched_at,n_rows_prematch_vs_kickoff,n_events_any_prematch_row_for_this_market
2023,85,2. Bundesliga,Full Time Result,432,144,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,85,2. Bundesliga,Fulltime Result,432,144,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,85,2. Bundesliga,Goals Over/Under,288,144,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,88,3. Liga,Full Time Result,591,197,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,88,3. Liga,Fulltime Result,591,197,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,88,3. Liga,Match Winner,591,197,17,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,88,3. Liga,Goals Over/Under,394,197,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,109,DFB Pokal,Fulltime Result,168,56,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,109,DFB Pokal,Match Winner,168,56,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,109,DFB Pokal,Full Time Result,167,56,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,109,DFB Pokal,Goals Over/Under,112,56,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,181,Admiral Bundesliga,Fulltime Result,288,96,10,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,181,Admiral Bundesliga,Full Time Result,288,96,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,181,Admiral Bundesliga,Match Winner,288,96,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,181,Admiral Bundesliga,Goals Over/Under,192,96,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,208,Pro League,Match Winner,456,152,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,208,Pro League,Full Time Result,456,152,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,208,Pro League,Fulltime Result,456,152,14,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,208,Pro League,Goals Over/Under,304,152,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,211,Challenger Pro League,Fulltime Result,384,128,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,211,Challenger Pro League,Match Winner,384,128,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,211,Challenger Pro League,Full Time Result,375,125,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,211,Challenger Pro League,Goals Over/Under,256,128,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,229,First League,Match Winner,414,138,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,229,First League,Full Time Result,414,138,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,229,First League,Fulltime Result,411,137,15,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,229,First League,Goals Over/Under,276,138,18,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,244,1. HNL,Full Time Result,246,82,1,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,244,1. HNL,Fulltime Result,246,82,13,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,244,1. HNL,Match Winner,246,82,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
2023,244,1. HNL,Goals Over/Under,164,82,16,2026-04-21 23:05:50.211909-05:00,2026-04-21 23:05:50.211909-05:00,0,0
