shadow_pick_id,source_run_key,operating_day_key,bt2_event_id,sm_fixture_id,sm_league_id,league_name,legacy_exclusion,shadow_native_exclusion,legacy_eligible,shadow_native_eligible
271,shadow-subset5-backfill-2026-01,2026-01-03,,19427648,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
272,shadow-subset5-backfill-2026-01,2026-01-03,,19427655,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
273,shadow-subset5-backfill-2026-01,2026-01-03,,19427647,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
292,shadow-subset5-backfill-2026-01,2026-01-03,,19433881,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
293,shadow-subset5-backfill-2026-01,2026-01-03,,19433879,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
303,shadow-subset5-backfill-2026-01,2026-01-03,,19425053,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
304,shadow-subset5-backfill-2026-01,2026-01-03,,19425055,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
305,shadow-subset5-backfill-2026-01,2026-01-03,,19425060,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
306,shadow-subset5-backfill-2026-01,2026-01-03,,19425058,384,Serie A,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
307,shadow-subset5-backfill-2026-01,2026-01-03,,19425051,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
315,shadow-subset5-backfill-2026-01,2026-01-03,,19439420,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
316,shadow-subset5-backfill-2026-01,2026-01-03,,19439425,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
317,shadow-subset5-backfill-2026-01,2026-01-03,,19439422,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
318,shadow-subset5-backfill-2026-01,2026-01-03,,19439423,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
274,shadow-subset5-backfill-2026-01,2026-01-04,,19427651,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
275,shadow-subset5-backfill-2026-01,2026-01-04,,19427649,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
276,shadow-subset5-backfill-2026-01,2026-01-04,,19427653,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
277,shadow-subset5-backfill-2026-01,2026-01-04,,19427654,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
294,shadow-subset5-backfill-2026-01,2026-01-04,,19433882,301,Ligue 1,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
295,shadow-subset5-backfill-2026-01,2026-01-04,,19433878,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
296,shadow-subset5-backfill-2026-01,2026-01-04,,19433880,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
297,shadow-subset5-backfill-2026-01,2026-01-04,,19433884,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
298,shadow-subset5-backfill-2026-01,2026-01-04,,19433883,301,Ligue 1,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
308,shadow-subset5-backfill-2026-01,2026-01-04,,19425059,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
309,shadow-subset5-backfill-2026-01,2026-01-04,,19425054,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
310,shadow-subset5-backfill-2026-01,2026-01-04,,19425056,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
311,shadow-subset5-backfill-2026-01,2026-01-04,,19425057,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
319,shadow-subset5-backfill-2026-01,2026-01-04,,19439429,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
320,shadow-subset5-backfill-2026-01,2026-01-04,,19439427,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
321,shadow-subset5-backfill-2026-01,2026-01-04,,19439421,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
322,shadow-subset5-backfill-2026-01,2026-01-04,,19439424,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
323,shadow-subset5-backfill-2026-01,2026-01-04,,19439428,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
312,shadow-subset5-backfill-2026-01,2026-01-06,,19425068,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
313,shadow-subset5-backfill-2026-01,2026-01-06,,19425064,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
278,shadow-subset5-backfill-2026-01,2026-01-09,,19433614,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
324,shadow-subset5-backfill-2026-01,2026-01-09,,19439432,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
279,shadow-subset5-backfill-2026-01,2026-01-10,,19433610,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
280,shadow-subset5-backfill-2026-01,2026-01-10,,19433611,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
281,shadow-subset5-backfill-2026-01,2026-01-10,,19433617,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
282,shadow-subset5-backfill-2026-01,2026-01-10,,19433612,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
325,shadow-subset5-backfill-2026-01,2026-01-10,,19439436,564,La Liga,missing_bt2_event_id,eligible_shadow_native,False,True
283,shadow-subset5-backfill-2026-01,2026-01-11,,19433613,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
284,shadow-subset5-backfill-2026-01,2026-01-11,,19433615,82,Bundesliga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
285,shadow-subset5-backfill-2026-01,2026-01-13,,19433626,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
286,shadow-subset5-backfill-2026-01,2026-01-13,,19433620,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
287,shadow-subset5-backfill-2026-01,2026-01-13,,19433621,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
288,shadow-subset5-backfill-2026-01,2026-01-14,,19433627,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
289,shadow-subset5-backfill-2026-01,2026-01-14,,19433619,82,Bundesliga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
299,shadow-subset5-backfill-2026-01,2026-01-16,,19433887,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
300,shadow-subset5-backfill-2026-01,2026-01-16,,19433890,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
301,shadow-subset5-backfill-2026-01,2026-01-17,,19433891,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
326,shadow-subset5-backfill-2026-02,2026-02-01,,19427686,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
327,shadow-subset5-backfill-2026-02,2026-02-01,,19427691,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
328,shadow-subset5-backfill-2026-02,2026-02-01,,19427692,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
329,shadow-subset5-backfill-2026-02,2026-02-01,,19427694,8,Premier League,missing_bt2_event_id,eligible_shadow_native,False,True
338,shadow-subset5-backfill-2026-02,2026-02-01,,19433654,82,Bundesliga,missing_bt2_event_id,eligible_shadow_native,False,True
339,shadow-subset5-backfill-2026-02,2026-02-01,,19433647,82,Bundesliga,missing_bt2_event_id,shadow_native_value_pool_failed,False,False
351,shadow-subset5-backfill-2026-02,2026-02-01,,19433907,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
352,shadow-subset5-backfill-2026-02,2026-02-01,,19433912,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
353,shadow-subset5-backfill-2026-02,2026-02-01,,19467805,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
354,shadow-subset5-backfill-2026-02,2026-02-01,,19433911,301,Ligue 1,missing_bt2_event_id,eligible_shadow_native,False,True
362,shadow-subset5-backfill-2026-02,2026-02-01,,19425109,384,Serie A,missing_bt2_event_id,eligible_shadow_native,False,True
