odds_band,picks_total,scored,hit,miss,void,pending_result,no_evaluable,hit_rate_on_scored,roi_flat_stake_units,roi_flat_stake_pct,interpretation_tier,signal_reading_banned_4a1,small_sample_warning
dec_lt_2,96,96,56,40,0,0,0,0.583333,-10.31,-10.739583,C_adequate_descriptive,False,False
dec_2_to_2_5,45,43,19,24,0,2,0,0.44186,-1.65,-3.837209,B_weak_exploratory,True,False
dec_3_to_4,41,40,11,29,0,1,0,0.275,-2.67,-6.675,B_weak_exploratory,True,False
dec_4_to_6,36,36,7,29,0,0,0,0.194444,-3.2,-8.888889,B_weak_exploratory,True,False
dec_2_5_to_3,34,34,8,26,0,0,0,0.235294,-12.1,-35.588235,B_weak_exploratory,True,False
dec_ge_6,26,26,3,23,0,0,0,0.115385,6.5,25.0,B_weak_exploratory,True,False
unknown_odds,19,0,0,0,0,11,8,0.0,0.0,0.0,A_inadequate,True,False
