selection_side,picks_total,scored,hit,miss,void,pending_result,no_evaluable,hit_rate_on_scored,roi_flat_stake_units,roi_flat_stake_pct,interpretation_tier,signal_reading_banned_4a1,small_sample_warning
home,137,135,55,80,0,2,0,0.407407,-2.58,-1.911111,C_adequate_descriptive,False,False
away,125,124,38,86,0,1,0,0.306452,-22.64,-18.258065,C_adequate_descriptive,False,False
unknown,19,0,0,0,0,11,8,0.0,0.0,0.0,A_inadequate,True,False
unknown_resolved_teams,16,16,11,5,0,0,0,0.6875,1.79,11.1875,A_inadequate,True,True
