dimension,segment_id,picks_total,scored_discovery,scored_validation,hit_rate_discovery,hit_rate_validation,roi_discovery_units,roi_validation_units,roi_discovery_pct,roi_validation_pct,interpretation_tier_discovery,interpretation_tier_validation,interpretation_tier,final_classification,classification_reason,primary_analysis_csv
odds_band,dec_lt_2,96,74,22,0.608108,0.5,-5.18,-5.13,-7.0,-23.318182,C_adequate_descriptive,B_weak_exploratory,C_adequate_descriptive|B_weak_exploratory,ruido,tier_B_weak_exploratory_precludes_promising_per_preregister,YES
selection_side,away,125,103,21,0.339806,0.142857,-12.74,-9.9,-12.368932,-47.142857,C_adequate_descriptive,B_weak_exploratory,C_adequate_descriptive|B_weak_exploratory,ruido,tier_B_weak_exploratory_precludes_promising_per_preregister,YES
selection_side,home,137,100,35,0.39,0.457143,-1.13,-1.45,-1.13,-4.142857,C_adequate_descriptive,B_weak_exploratory,C_adequate_descriptive|B_weak_exploratory,ruido,tier_B_weak_exploratory_precludes_promising_per_preregister,YES
source_path,cdm_shadow,100,38,47,0.5,0.404255,1.97,-3.83,5.184211,-8.148936,B_weak_exploratory,B_weak_exploratory,B_weak_exploratory|B_weak_exploratory,ruido,tier_B_weak_exploratory_precludes_promising_per_preregister,YES
