cohort_key,cohort_label,from,to,n_months,n_months_with_data,n_months_gap,n_fixtures,n_value_pool,n_not_usable,vp_over_fixtures,survival_mean,survival_min,survival_max,survival_range,dcs12_over_fixtures,market_top1_over_fixtures,odds_usable_raw_over_join,continuidad_temporal,calidad_esperada,uso_recomendado
A_2025_stable_high_survival,A — 2025 Ene-May (estable alta supervivencia),2025-01,2025-05,5,5,0,10613,10022,591,0.9443,0.7159,0.6767,0.7464,0.0697,0.9443,0.9443,0.9908,continua,alta,exploracion_historica_seria
B_2024_q4_high_survival,"B — 2024 Oct-Dic (post-cambio regimen, alta supervivencia)",2024-10,2024-12,3,3,0,6254,5740,514,0.9178,0.6431,0.6087,0.6641,0.0554,0.9178,0.9178,0.9775,continua,media_alta,contraste_metodologico
C_2024_q1_q3_low_mid_survival,"C — 2024 Ene-Sep (pre-cambio regimen, baja-media supervivencia)",2024-01,2024-09,9,9,0,16914,14939,1975,0.8832,0.1903,0.114,0.3022,0.1882,0.8832,0.8832,0.9523,continua,media,contraste_metodologico
D_2023_aug_dec_low_survival_partial,"D — 2023 Ago-Dic (parcial, banda baja supervivencia)",2023-08,2023-12,5,5,0,9716,8071,1645,0.8307,0.222,0.188,0.2559,0.0679,0.8307,0.8307,0.9149,continua,media_baja,solo_referencia_secundaria
